indicator,type,family,reference,description
vault[.]amberseason79[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
vault[.]fasthub[.]sbs,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
vault8[.]brighttempo[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
watch[.]common-store[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
web3[.]cdnhq[.]sbs,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
worker[.]ivoryboard[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot; Resolved to 104.143.36.164
xofqaabf[.]ogoxxqqizc[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot; Resolved to 104.143.36.164
api[.]autoscope[.]sbs,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
eth[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
eth[.]cchaingov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
eth[.]youthchain[.]cc,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
bnb[.]youthchain[.]cc,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
bnb-proxy[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
tech[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
